,city,year,weekofyear,total_cases,week_start_date
0,sj,1990,18,4,1990-04-30
1,sj,1990,19,5,1990-05-07
2,sj,1990,20,4,1990-05-14
3,sj,1990,21,3,1990-05-21
4,sj,1990,22,6,1990-05-28
5,sj,1990,23,2,1990-06-04
6,sj,1990,24,4,1990-06-11
7,sj,1990,25,5,1990-06-18
8,sj,1990,26,10,1990-06-25
9,sj,1990,27,6,1990-07-02
10,sj,1990,28,8,1990-07-09
11,sj,1990,29,2,1990-07-16
12,sj,1990,30,6,1990-07-23
13,sj,1990,31,17,1990-07-30
14,sj,1990,32,23,1990-08-06
15,sj,1990,33,13,1990-08-13
16,sj,1990,34,21,1990-08-20
17,sj,1990,35,28,1990-08-27
18,sj,1990,36,24,1990-09-03
19,sj,1990,37,20,1990-09-10
20,sj,1990,38,40,1990-09-17
21,sj,1990,39,27,1990-09-24
22,sj,1990,40,42,1990-10-01
23,sj,1990,41,33,1990-10-08
24,sj,1990,42,43,1990-10-15
25,sj,1990,43,37,1990-10-22
26,sj,1990,44,57,1990-10-29
27,sj,1990,45,71,1990-11-05
28,sj,1990,46,44,1990-11-12
29,sj,1990,47,56,1990-11-19
30,sj,1990,48,53,1990-11-26
31,sj,1990,49,52,1990-12-03
32,sj,1990,50,47,1990-12-10
33,sj,1990,51,26,1990-12-17
34,sj,1990,52,27,1990-12-24
35,sj,1991,1,21,1991-01-01
36,sj,1991,2,21,1991-01-08
37,sj,1991,3,26,1991-01-15
38,sj,1991,4,34,1991-01-22
39,sj,1991,5,37,1991-01-29
40,sj,1991,6,17,1991-02-05
41,sj,1991,7,19,1991-02-12
42,sj,1991,8,25,1991-02-19
43,sj,1991,9,18,1991-02-26
44,sj,1991,10,21,1991-03-05
45,sj,1991,11,17,1991-03-12
46,sj,1991,12,17,1991-03-19
47,sj,1991,13,16,1991-03-26
48,sj,1991,14,16,1991-04-02
49,sj,1991,15,15,1991-04-09
50,sj,1991,16,23,1991-04-16
51,sj,1991,17,16,1991-04-23
52,sj,1991,18,17,1991-04-30
53,sj,1991,19,12,1991-05-07
54,sj,1991,20,17,1991-05-14
55,sj,1991,21,10,1991-05-21
56,sj,1991,22,15,1991-05-28
57,sj,1991,23,19,1991-06-04
58,sj,1991,24,21,1991-06-11
59,sj,1991,25,14,1991-06-18
60,sj,1991,26,18,1991-06-25
61,sj,1991,27,13,1991-07-02
62,sj,1991,28,14,1991-07-09
63,sj,1991,29,18,1991-07-16
64,sj,1991,30,23,1991-07-23
65,sj,1991,31,25,1991-07-30
66,sj,1991,32,62,1991-08-06
67,sj,1991,33,60,1991-08-13
68,sj,1991,34,76,1991-08-20
69,sj,1991,35,66,1991-08-27
70,sj,1991,36,64,1991-09-03
71,sj,1991,37,68,1991-09-10
72,sj,1991,38,89,1991-09-17
73,sj,1991,39,92,1991-09-24
74,sj,1991,40,140,1991-10-01
75,sj,1991,41,116,1991-10-08
76,sj,1991,42,142,1991-10-15
77,sj,1991,43,129,1991-10-22
78,sj,1991,44,140,1991-10-29
79,sj,1991,45,140,1991-11-05
80,sj,1991,46,127,1991-11-12
81,sj,1991,47,129,1991-11-19
82,sj,1991,48,169,1991-11-26
83,sj,1991,49,141,1991-12-03
84,sj,1991,50,108,1991-12-10
85,sj,1991,51,78,1991-12-17
86,sj,1991,52,70,1991-12-24
87,sj,1992,1,81,1992-01-01
88,sj,1992,2,104,1992-01-08
89,sj,1992,3,90,1992-01-15
90,sj,1992,4,85,1992-01-22
91,sj,1992,5,55,1992-01-29
92,sj,1992,6,53,1992-02-05
93,sj,1992,7,65,1992-02-12
94,sj,1992,8,33,1992-02-19
95,sj,1992,9,38,1992-02-26
96,sj,1992,10,59,1992-03-04
97,sj,1992,11,40,1992-03-11
98,sj,1992,12,37,1992-03-18
99,sj,1992,13,29,1992-03-25
100,sj,1992,14,30,1992-04-01
101,sj,1992,15,30,1992-04-08
102,sj,1992,16,28,1992-04-15
103,sj,1992,17,23,1992-04-22
104,sj,1992,18,24,1992-04-29
105,sj,1992,19,29,1992-05-06
106,sj,1992,20,26,1992-05-13
107,sj,1992,21,23,1992-05-20
108,sj,1992,22,20,1992-05-27
109,sj,1992,23,19,1992-06-03
110,sj,1992,24,20,1992-06-10
111,sj,1992,25,26,1992-06-17
112,sj,1992,26,29,1992-06-24
113,sj,1992,27,31,1992-07-01
114,sj,1992,28,28,1992-07-08
115,sj,1992,29,26,1992-07-15
116,sj,1992,30,32,1992-07-22
117,sj,1992,31,35,1992-07-29
118,sj,1992,32,33,1992-08-05
119,sj,1992,33,30,1992-08-12
120,sj,1992,34,52,1992-08-19
121,sj,1992,35,59,1992-08-26
122,sj,1992,36,67,1992-09-02
123,sj,1992,37,65,1992-09-09
124,sj,1992,38,74,1992-09-16
125,sj,1992,39,70,1992-09-23
126,sj,1992,40,61,1992-09-30
127,sj,1992,41,53,1992-10-07
128,sj,1992,42,76,1992-10-14
129,sj,1992,43,61,1992-10-21
130,sj,1992,44,57,1992-10-28
131,sj,1992,45,44,1992-11-04
132,sj,1992,46,34,1992-11-11
133,sj,1992,47,47,1992-11-18
134,sj,1992,48,60,1992-11-25
135,sj,1992,49,60,1992-12-02
136,sj,1992,50,53,1992-12-09
137,sj,1992,51,36,1992-12-16
138,sj,1992,52,31,1992-12-23
139,sj,1993,1,32,1993-01-08
140,sj,1993,2,28,1993-01-15
141,sj,1993,3,33,1993-01-22
142,sj,1993,4,33,1993-01-29
143,sj,1993,5,35,1993-02-05
144,sj,1993,6,22,1993-02-12
145,sj,1993,7,13,1993-02-19
146,sj,1993,8,13,1993-02-26
147,sj,1993,9,21,1993-03-05
148,sj,1993,10,17,1993-03-12
149,sj,1993,11,11,1993-03-19
150,sj,1993,12,8,1993-03-26
151,sj,1993,13,8,1993-04-02
152,sj,1993,14,6,1993-04-09
153,sj,1993,15,6,1993-04-16
154,sj,1993,16,7,1993-04-23
155,sj,1993,17,12,1993-04-30
156,sj,1993,18,17,1993-05-07
157,sj,1993,19,10,1993-05-14
158,sj,1993,20,10,1993-05-21
159,sj,1993,21,18,1993-05-28
160,sj,1993,22,19,1993-06-04
161,sj,1993,23,12,1993-06-11
162,sj,1993,24,22,1993-06-18
163,sj,1993,25,12,1993-06-25
164,sj,1993,26,21,1993-07-02
165,sj,1993,27,18,1993-07-09
166,sj,1993,28,16,1993-07-16
167,sj,1993,29,16,1993-07-23
168,sj,1993,30,22,1993-07-30
169,sj,1993,31,17,1993-08-06
170,sj,1993,32,25,1993-08-13
171,sj,1993,33,23,1993-08-20
172,sj,1993,34,12,1993-08-27
173,sj,1993,35,25,1993-09-03
174,sj,1993,36,28,1993-09-10
175,sj,1993,37,27,1993-09-17
176,sj,1993,38,18,1993-09-24
177,sj,1993,39,23,1993-10-01
178,sj,1993,40,23,1993-10-08
179,sj,1993,41,29,1993-10-15
180,sj,1993,42,38,1993-10-22
181,sj,1993,43,36,1993-10-29
182,sj,1993,44,43,1993-11-05
183,sj,1993,45,46,1993-11-12
184,sj,1993,46,31,1993-11-19
185,sj,1993,47,25,1993-11-26
186,sj,1993,48,40,1993-12-03
187,sj,1993,49,31,1993-12-10
188,sj,1993,50,38,1993-12-17
189,sj,1993,51,30,1993-12-24
190,sj,1994,1,31,1994-01-08
191,sj,1994,2,26,1994-01-15
192,sj,1994,3,35,1994-01-22
193,sj,1994,4,36,1994-01-29
194,sj,1994,5,39,1994-02-05
195,sj,1994,6,25,1994-02-12
196,sj,1994,7,31,1994-02-19
197,sj,1994,8,37,1994-02-26
198,sj,1994,9,33,1994-03-05
199,sj,1994,10,25,1994-03-12
200,sj,1994,11,24,1994-03-19
201,sj,1994,12,18,1994-03-26
202,sj,1994,13,23,1994-04-02
203,sj,1994,14,13,1994-04-09
204,sj,1994,15,18,1994-04-16
205,sj,1994,16,14,1994-04-23
206,sj,1994,17,17,1994-04-30
207,sj,1994,18,22,1994-05-07
208,sj,1994,19,13,1994-05-14
209,sj,1994,20,24,1994-05-21
210,sj,1994,21,31,1994-05-28
211,sj,1994,22,34,1994-06-04
212,sj,1994,23,31,1994-06-11
213,sj,1994,24,31,1994-06-18
214,sj,1994,25,38,1994-06-25
215,sj,1994,26,49,1994-07-02
216,sj,1994,27,42,1994-07-09
217,sj,1994,28,49,1994-07-16
218,sj,1994,29,55,1994-07-23
219,sj,1994,30,80,1994-07-30
220,sj,1994,31,84,1994-08-06
221,sj,1994,32,72,1994-08-13
222,sj,1994,33,89,1994-08-20
223,sj,1994,34,115,1994-08-27
224,sj,1994,35,179,1994-09-03
225,sj,1994,36,202,1994-09-10
226,sj,1994,37,272,1994-09-17
227,sj,1995,52,154,1995-01-01
228,sj,1995,1,91,1995-01-08
229,sj,1995,2,72,1995-01-15
230,sj,1995,3,56,1995-01-22
231,sj,1995,4,46,1995-01-29
232,sj,1995,5,37,1995-02-05
233,sj,1995,6,26,1995-02-12
234,sj,1995,7,17,1995-02-19
235,sj,1995,8,17,1995-02-26
236,sj,1995,9,20,1995-03-05
237,sj,1995,10,11,1995-03-12
238,sj,1995,11,7,1995-03-19
239,sj,1995,12,16,1995-03-26
240,sj,1995,13,14,1995-04-02
241,sj,1995,14,16,1995-04-09
242,sj,1995,15,5,1995-04-16
243,sj,1995,16,2,1995-04-23
244,sj,1995,17,6,1995-04-30
245,sj,1995,18,5,1995-05-07
246,sj,1995,19,4,1995-05-14
247,sj,1995,20,3,1995-05-21
248,sj,1995,21,4,1995-05-28
249,sj,1995,22,16,1995-06-04
250,sj,1995,23,8,1995-06-11
251,sj,1995,24,7,1995-06-18
252,sj,1995,25,10,1995-06-25
253,sj,1995,26,14,1995-07-02
254,sj,1995,27,7,1995-07-09
255,sj,1995,28,9,1995-07-16
256,sj,1995,29,11,1995-07-23
257,sj,1995,30,23,1995-07-30
258,sj,1995,31,17,1995-08-06
259,sj,1995,32,19,1995-08-13
260,sj,1995,33,24,1995-08-20
261,sj,1995,34,17,1995-08-27
262,sj,1995,35,28,1995-09-03
263,sj,1995,36,40,1995-09-10
264,sj,1995,37,33,1995-09-17
265,sj,1995,38,31,1995-09-24
266,sj,1995,39,33,1995-10-01
267,sj,1995,40,29,1995-10-08
268,sj,1995,41,30,1995-10-15
269,sj,1995,42,36,1995-10-22
270,sj,1995,43,48,1995-10-29
271,sj,1995,44,40,1995-11-05
272,sj,1995,45,28,1995-11-12
273,sj,1995,46,36,1995-11-19
274,sj,1995,47,19,1995-11-26
275,sj,1995,48,34,1995-12-03
276,sj,1995,49,23,1995-12-10
277,sj,1995,50,17,1995-12-17
278,sj,1995,51,17,1995-12-24
279,sj,1996,1,23,1996-01-01
280,sj,1996,2,14,1996-01-08
281,sj,1996,3,20,1996-01-15
282,sj,1996,4,13,1996-01-22
283,sj,1996,5,23,1996-01-29
284,sj,1996,6,20,1996-02-05
285,sj,1996,7,16,1996-02-12
286,sj,1996,8,16,1996-02-19
287,sj,1996,9,23,1996-02-26
288,sj,1996,10,14,1996-03-04
289,sj,1996,11,15,1996-03-11
290,sj,1996,12,4,1996-03-18
291,sj,1996,13,5,1996-03-25
292,sj,1996,14,5,1996-04-01
293,sj,1996,15,11,1996-04-08
294,sj,1996,16,11,1996-04-15
295,sj,1996,17,7,1996-04-22
296,sj,1996,18,4,1996-04-29
297,sj,1996,19,6,1996-05-06
298,sj,1996,20,5,1996-05-13
299,sj,1996,21,2,1996-05-20
300,sj,1996,22,4,1996-05-27
301,sj,1996,23,2,1996-06-03
302,sj,1996,24,4,1996-06-10
303,sj,1996,25,6,1996-06-17
304,sj,1996,26,6,1996-06-24
305,sj,1996,27,4,1996-07-01
306,sj,1996,28,6,1996-07-08
307,sj,1996,29,11,1996-07-15
308,sj,1996,30,16,1996-07-22
309,sj,1996,31,9,1996-07-29
310,sj,1996,32,12,1996-08-05
311,sj,1996,33,13,1996-08-12
312,sj,1996,34,27,1996-08-19
313,sj,1996,35,21,1996-08-26
314,sj,1996,36,19,1996-09-02
315,sj,1996,37,17,1996-09-09
316,sj,1996,38,24,1996-09-16
317,sj,1996,39,27,1996-09-23
318,sj,1996,40,30,1996-09-30
319,sj,1996,41,29,1996-10-07
320,sj,1996,42,25,1996-10-14
321,sj,1996,43,35,1996-10-21
322,sj,1996,44,33,1996-10-28
323,sj,1996,45,30,1996-11-04
324,sj,1996,46,29,1996-11-11
325,sj,1996,47,31,1996-11-18
326,sj,1996,48,29,1996-11-25
327,sj,1996,49,22,1996-12-02
328,sj,1996,50,27,1996-12-09
329,sj,1996,51,24,1996-12-16
330,sj,1996,52,26,1996-12-23
331,sj,1997,1,29,1997-01-01
332,sj,1997,2,22,1997-01-08
333,sj,1997,3,33,1997-01-15
334,sj,1997,4,24,1997-01-22
335,sj,1997,5,30,1997-01-29
336,sj,1997,6,20,1997-02-05
337,sj,1997,7,17,1997-02-12
338,sj,1997,8,24,1997-02-19
339,sj,1997,9,28,1997-02-26
340,sj,1997,10,18,1997-03-05
341,sj,1997,11,13,1997-03-12
342,sj,1997,12,9,1997-03-19
343,sj,1997,13,14,1997-03-26
344,sj,1997,14,11,1997-04-02
345,sj,1997,15,11,1997-04-09
346,sj,1997,16,19,1997-04-16
347,sj,1997,17,10,1997-04-23
348,sj,1997,18,8,1997-04-30
349,sj,1997,19,8,1997-05-07
350,sj,1997,20,9,1997-05-14
351,sj,1997,21,3,1997-05-21
352,sj,1997,22,7,1997-05-28
353,sj,1997,23,14,1997-06-04
354,sj,1997,24,4,1997-06-11
355,sj,1997,25,9,1997-06-18
356,sj,1997,26,14,1997-06-25
357,sj,1997,27,7,1997-07-02
358,sj,1997,28,9,1997-07-09
359,sj,1997,29,3,1997-07-16
360,sj,1997,30,3,1997-07-23
361,sj,1997,31,14,1997-07-30
362,sj,1997,32,12,1997-08-06
363,sj,1997,33,10,1997-08-13
364,sj,1997,34,21,1997-08-20
365,sj,1997,35,26,1997-08-27
366,sj,1997,36,47,1997-09-03
367,sj,1997,37,42,1997-09-10
368,sj,1997,38,31,1997-09-17
369,sj,1997,39,34,1997-09-24
370,sj,1997,40,33,1997-10-01
371,sj,1997,41,52,1997-10-08
372,sj,1997,42,56,1997-10-15
373,sj,1997,43,70,1997-10-22
374,sj,1997,44,112,1997-10-29
375,sj,1997,45,70,1997-11-05
376,sj,1997,46,47,1997-11-12
377,sj,1997,47,48,1997-11-19
378,sj,1997,48,49,1997-11-26
379,sj,1997,49,66,1997-12-03
380,sj,1997,50,56,1997-12-10
381,sj,1997,51,61,1997-12-17
382,sj,1997,52,67,1997-12-24
383,sj,1998,1,64,1998-01-01
384,sj,1998,2,68,1998-01-08
385,sj,1998,3,49,1998-01-15
386,sj,1998,4,50,1998-01-22
387,sj,1998,5,56,1998-01-29
388,sj,1998,6,75,1998-02-05
389,sj,1998,7,63,1998-02-12
390,sj,1998,8,62,1998-02-19
391,sj,1998,9,41,1998-02-26
392,sj,1998,10,50,1998-03-05
393,sj,1998,11,34,1998-03-12
394,sj,1998,12,31,1998-03-19
395,sj,1998,13,38,1998-03-26
396,sj,1998,14,30,1998-04-02
397,sj,1998,15,32,1998-04-09
398,sj,1998,16,26,1998-04-16
399,sj,1998,17,30,1998-04-23
400,sj,1998,18,36,1998-04-30
401,sj,1998,19,35,1998-05-07
402,sj,1998,20,46,1998-05-14
403,sj,1998,21,48,1998-05-21
404,sj,1998,22,44,1998-05-28
405,sj,1998,23,51,1998-06-04
406,sj,1998,24,59,1998-06-11
407,sj,1998,25,71,1998-06-18
408,sj,1998,26,102,1998-06-25
409,sj,1998,27,128,1998-07-02
410,sj,1998,28,127,1998-07-09
411,sj,1998,29,150,1998-07-16
412,sj,1998,30,191,1998-07-23
413,sj,1998,31,256,1998-07-30
414,sj,1998,32,329,1998-08-06
415,sj,1998,33,263,1998-08-13
416,sj,1998,34,220,1998-08-20
417,sj,1998,35,204,1998-08-27
418,sj,1998,36,181,1998-09-03
419,sj,1998,37,99,1998-09-10
420,sj,1998,38,54,1998-09-17
421,sj,1998,39,80,1998-09-24
422,sj,1998,40,102,1998-10-01
423,sj,1998,41,127,1998-10-08
424,sj,1998,42,73,1998-10-15
425,sj,1998,43,68,1998-10-22
426,sj,1998,44,64,1998-10-29
427,sj,1998,45,55,1998-11-05
428,sj,1998,46,67,1998-11-12
429,sj,1998,47,84,1998-11-19
430,sj,1998,48,85,1998-11-26
431,sj,1998,49,67,1998-12-03
432,sj,1998,50,73,1998-12-10
433,sj,1998,51,89,1998-12-17
434,sj,1998,52,68,1998-12-24
435,sj,1999,1,56,1999-01-08
436,sj,1999,2,77,1999-01-15
437,sj,1999,3,75,1999-01-22
438,sj,1999,4,47,1999-01-29
439,sj,1999,5,50,1999-02-05
440,sj,1999,6,42,1999-02-12
441,sj,1999,7,28,1999-02-19
442,sj,1999,8,37,1999-02-26
443,sj,1999,9,37,1999-03-05
444,sj,1999,10,27,1999-03-12
445,sj,1999,11,12,1999-03-19
446,sj,1999,12,15,1999-03-26
447,sj,1999,13,22,1999-04-02
448,sj,1999,14,8,1999-04-09
449,sj,1999,15,15,1999-04-16
450,sj,1999,16,17,1999-04-23
451,sj,1999,17,10,1999-04-30
452,sj,1999,18,9,1999-05-07
453,sj,1999,19,11,1999-05-14
454,sj,1999,20,20,1999-05-21
455,sj,1999,21,13,1999-05-28
456,sj,1999,22,11,1999-06-04
457,sj,1999,23,16,1999-06-11
458,sj,1999,24,11,1999-06-18
459,sj,1999,25,7,1999-06-25
460,sj,1999,26,17,1999-07-02
461,sj,1999,27,14,1999-07-09
462,sj,1999,28,13,1999-07-16
463,sj,1999,29,15,1999-07-23
464,sj,1999,30,30,1999-07-30
465,sj,1999,31,25,1999-08-06
466,sj,1999,32,40,1999-08-13
467,sj,1999,33,44,1999-08-20
468,sj,1999,34,25,1999-08-27
469,sj,1999,35,21,1999-09-03
470,sj,1999,36,48,1999-09-10
471,sj,1999,37,56,1999-09-17
472,sj,1999,38,60,1999-09-24
473,sj,1999,39,45,1999-10-01
474,sj,1999,40,55,1999-10-08
475,sj,1999,41,32,1999-10-15
476,sj,1999,42,46,1999-10-22
477,sj,1999,43,61,1999-10-29
